Sample_Name,sample_order,Inj_Number,Analysis_Inj,Area,Excluded
G1-1,45546.8677,1,TN,5.892,1
G1-1,45546.8701,2,TN,5.608,0
G1-1,45546.8724,3,TN,5.515,0
G1-2,45546.8791,1,TN,5.111,0
G1-2,45546.8814,2,TN,4.877,1
G1-2,45546.8858,3,TN,5.345,0
G1-3 diluted 10:1,45546.8923,1,TN,1.85,0
G1-3 diluted 10:1,45546.8948,2,TN,2.205,0
G1-3 diluted 10:1,45546.8974,3,TN,1.213,1
G2-H-1,45546.9041,1,TN,9.802,0
G2-H-1,45546.9065,2,TN,10.16,0
G2-H-1,45546.9109,3,TN,0,1
G2-H-2,45546.9179,1,TN,7.882,1
G2-H-2,45546.9206,2,TN,7.65,0
G2-H-2,45546.9232,3,TN,7.748,0
G2-E-1,45546.9304,1,TN,10.47,0
G2-E-1,45546.9331,2,TN,10.33,0
G2-E-2,45546.94,1,TN,4.564,0
G2-E-2,45546.9427,2,TN,4.627,0
G3-H-1,45546.9496,1,TN,5.186,0
G3-H-1,45546.952,2,TN,5.195,0
G3-H-2,45546.9592,1,TN,6.707,0
G3-H-2,45546.9619,2,TN,6.75,0
G3-E-1,45546.9684,1,TN,6.747,0
G3-E-1,45546.9709,2,TN,6.868,0
MQ,45546.9783,1,TN,122.6,0
MQ,45546.9809,2,TN,124.1,0
check,45546.99,1,TN,0.7522,0
check,45546.9925,2,TN,0.5082,1
check,45546.9948,3,TN,0.7473,0
G3-E-2,45547.0019,1,TN,5.847,0
G3-E-2,45547.0045,2,TN,5.729,0
G4-H-1,45547.0116,1,TN,7.641,0
G4-H-1,45547.0143,2,TN,7.814,0
G4-H-2,45547.0213,1,TN,5.437,0
G4-H-2,45547.0238,2,TN,5.83,1
G4-H-2,45547.0263,3,TN,5.553,0
G4-E-1,45547.0333,1,TN,8.945,0
G4-E-1,45547.036,2,TN,9.572,1
G4-E-1,45547.0386,3,TN,8.693,0
G4-E-2,45547.0456,1,TN,11.69,0
G4-E-2,45547.0484,2,TN,11.86,0
G5-H-1,45547.055,1,TN,3.571,0
G5-H-1,45547.0578,2,TN,3.361,0
G5-H-1,45547.0622,3,TN,3.974,1
G5-H-2,45547.0685,1,TN,5.613,1
G5-H-2,45547.0711,2,TN,5.373,0
G5-H-2,45547.0735,3,TN,5.182,0
G5-E-1,45547.0803,1,TN,6.35,0
G5-E-1,45547.0829,2,TN,6.304,0
G5-E-2,45547.0923,1,TN,7.982,1
G5-E-2,45547.0952,2,TN,7.59,0
G5-E-2,45547.0977,3,TN,7.592,0
G6-H-1,45547.1046,1,TN,7.53,0
G6-H-1,45547.1072,2,TN,7.696,0
MQ,45547.1136,1,TN,0.4646,0
MQ,45547.1161,2,TN,0.5059,0
check,45547.1232,1,TN,121.6,0
check,45547.1257,2,TN,124,0
G6-H-2,45547.1325,1,TN,12.45,0
G6-H-2,45547.1351,2,TN,12.5,0
G6-E-1,45547.1418,1,TN,5.115,0
G6-E-1,45547.1444,2,TN,5.033,0
G6-E-2,45547.1514,1,TN,4.359,0
G6-E-2,45547.154,2,TN,4.427,0
G7-H-1,45547.1607,1,TN,6.954,1
G7-H-1,45547.1634,2,TN,7.181,0
G7-H-1,45547.1678,3,TN,7.131,0
G7-H-2,45547.1742,1,TN,4.557,1
G7-H-2,45547.1767,2,TN,5.042,0
G7-H-2,45547.1811,3,TN,4.916,0
G7-E-1,45547.1883,1,TN,7.02,0
G7-E-1,45547.191,2,TN,7.259,0
G7-E-1,45547.1955,3,TN,7.651,1
G7-E-2,45547.2023,1,TN,5.21,0
G7-E-2,45547.2049,2,TN,5.141,0
G8-H-1,45547.2116,1,TN,5.728,0
G8-H-1,45547.2141,2,TN,6.025,0
G8-H-1,45547.2185,3,TN,6.504,1
G8-H-2,45547.2254,1,TN,5.961,0
G8-H-2,45547.228,2,TN,6.02,0
G8-E-1,45547.2349,1,TN,5.104,1
G8-E-1,45547.2374,2,TN,5.304,0
G8-E-1,45547.2417,3,TN,5.225,0
MQ,45547.2481,1,TN,0.215,1
MQ,45547.2504,2,TN,0.4142,0
MQ,45547.2527,3,TN,0.3637,0
check,45547.2597,1,TN,122.8,0
check,45547.2623,2,TN,122.2,0
G8-E-2,45547.269,1,TN,5.139,0
G8-E-2,45547.2716,2,TN,4.661,1
G8-E-2,45547.276,3,TN,5.005,0
G10-1,45547.2829,1,TN,8.164,0
G10-1,45547.2855,2,TN,7.669,1
G10-1,45547.288,3,TN,7.948,0
G10-2,45547.2946,1,TN,7.606,0
G10-2,45547.2971,2,TN,7.868,1
G10-2,45547.2997,3,TN,7.705,0
G10-3,45547.3067,1,TN,6.801,0
G10-3,45547.3093,2,TN,6.861,0
MQ,45547.3167,1,TN,0.4967,0
MQ,45547.3191,2,TN,0.4796,0
check,45547.328,1,TN,121.7,0
check,45547.3306,2,TN,121.8,0
