Treatment ,Chl_a_ugL
Control,4.5
Control,4.79
Control,5.19
Control,5.68
Control,6.48
Control,6.9
Nitrogen,4.33
Nitrogen,4.82
Nitrogen,5.19
Nitrogen,5.61
Nitrogen,5.9
Nitrogen,6.08
Nitrogen,6.09
Nitrogen,6.37
Nitrogen,7.24
Nitrogen,7.96
Phosphorus,7.88
Phosphorus,9.08
Phosphorus,9.21
Phosphorus,9.79
Phosphorus,9.96
Phosphorus,10.08
Phosphorus,10.17
Phosphorus,10.5
Phosphorus,10.71
Phosphorus,10.83
Phosphorus,11.04
Phosphorus,11.58
Nitrogen&Phosphorus,10.42
Nitrogen&Phosphorus,10.83
Nitrogen&Phosphorus,10.96
Nitrogen&Phosphorus,11.29
Nitrogen&Phosphorus,11.33
Nitrogen&Phosphorus,14.08
